"MovieID","no_ratings","avg_ratings","Title","Action","Adventure","Animation","Children's","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
1,2077,4.14684641309581,"Toy Story (1995)",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,701,3.20114122681883,"Jumanji (1995)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,478,3.01673640167364,"Grumpier Old Men (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,170,2.72941176470588,"Waiting to Exhale (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,296,3.00675675675676,"Father of the Bride Part II (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,940,3.87872340425532,"Heat (1995)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,458,3.41048034934498,"Sabrina (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,68,3.01470588235294,"Tom and Huck (1995)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,102,2.65686274509804,"Sudden Death (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,888,3.54054054054054,"GoldenEye (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1033,3.79380445304937,"American President, The (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
12,160,2.3625,"Dracula: Dead and Loving It (1995)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13,99,3.26262626262626,"Balto (1995)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,153,3.54248366013072,"Nixon (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,146,2.45890410958904,"Cutthroat Island (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,682,3.79325513196481,"Casino (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
17,835,4.02754491017964,"Sense and Sensibility (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
18,157,3.3375796178344,"Four Rooms (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,389,2.48071979434447,"Ace Ventura: When Nature Calls (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,160,2.5375,"Money Train (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1356,3.62389380530973,"Get Shorty (1995)",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
22,378,3.34920634920635,"Copycat (1995)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
23,126,2.85714285714286,"Assassins (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
